iter	Passed	Remaining
949	31146	1639
950	31178	1606
951	31215	1573
952	31249	1541
953	31286	1508
954	31323	1475
955	31358	1443
956	31389	1410
957	31418	1377
958	31447	1344
959	31476	1311
960	31504	1278
961	31533	1245
962	31562	1212
963	31591	1179
964	31620	1146
965	31648	1113
966	31677	1081
967	31705	1048
968	31733	1015
969	31763	982
970	31792	949
971	31820	916
972	31848	883
973	31876	850
974	31905	818
975	31933	785
976	31962	752
977	31991	719
978	32019	686
979	32047	654
980	32076	621
981	32105	588
982	32134	555
983	32163	522
984	32192	490
985	32220	457
986	32249	424
987	32278	392
988	32306	359
989	32335	326
990	32363	293
991	32392	261
992	32421	228
993	32450	195
994	32479	163
995	32508	130
996	32540	97
997	32571	65
998	32602	32
999	32634	0
